from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
40082,40085,26,21444,1,6,0,1,25,3
87148,317580,188675,4786283,22,1257,490,1225,1988278,362025
428917,428917,691,0,0,2,2,0,0,1
317528,290796,35082,1072991,19,245,90,320,70410,26352
290798,290677,3937,118838,22,39,10,22,17189,68
290786,317580,35417,1258266,18,280,88,403,87245,30848
243301,40085,19385,1332965,40,157,47,331,41521,20978
40085,358006,203958,5914121,39,1328,494,894,1794169,383887
290796,40081,156606,4346543,43,967,379,947,2054977,308802
317580,263124,237129,5080806,25,1093,405,1565,1190447,373228
290783,434393,191472,7238339,24,1217,468,1854,1463277,422398
290798,375066,25062,1244699,31,177,64,256,358689,28208
263123,428913,54224,905911,17,504,120,358,195594,71073
428913,40090,193453,5789965,39,1195,464,1396,1566781,407830
40071,74673,158296,4767639,45,1100,373,1042,671620,213720
87148,290786,204909,5463173,24,1261,507,1221,2137946,395925
317528,40083,51480,2971190,18,347,134,802,334876,113347
290783,40072,58416,4306467,40,550,121,905,420374,152360
358006,40071,216650,5808196,40,1317,519,903,1215625,345536
428917,40090,178774,5814581,44,1198,430,1408,1508305,407830
243283,290783,57365,2936959,21,367,152,1019,184741,72365
375066,317580,24863,2280942,17,306,50,602,168949,63405
87148,87148,29,0,0,2,0,0,5,1
290677,380608,130770,3346415,26,458,197,834,800030,120585
303394,40090,16759,1376768,30,130,47,207,47298,16794
40086,380608,11984,817987,16,86,34,148,12234,6331
40082,263123,193756,5830777,44,1170,476,1600,1367824,371568
243283,74673,174977,5357291,27,1108,424,1338,724369,228983
290786,290677,1131,181437,20,53,1,44,1765,428
375066,317528,39623,2290503,17,302,98,614,170420,63983
40082,243292,14480,1292035,36,146,40,323,25698,9814
290786,303394,63683,3049606,19,378,167,770,300860,103105
40082,303394,18490,1495073,34,157,52,211,41320,14777
40072,303394,18759,1452102,34,157,52,211,28933,14777
243301,40078,16387,1518458,40,157,46,387,46328,23264
263123,290787,149669,4306815,23,1016,375,1405,1050016,343841
243301,40082,6354,1338326,41,157,13,332,41616,21026
290796,40078,186191,4524439,43,1049,451,1001,2183598,333608
243292,290798,55990,2960266,28,349,143,949,179274,73019
317580,290784,36994,1151143,15,279,95,331,75445,31041
290796,40071,172586,4348708,43,967,415,947,2056453,309167
317580,317394,4850,92027,11,42,13,68,2587,1077
