from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
40084,40071,37,30158,2,9,0,2,32,7
303394,243288,5488,2112421,16,221,0,426,156875,50017
40085,87148,59632,4227478,40,1252,0,876,488147,166996
40071,317394,10161,3145259,38,348,0,803,223392,75024
263123,87148,39695,3293724,24,1072,0,1079,1451738,289988
290784,317394,7657,1180459,21,282,0,390,67286,27683
303394,87148,54387,3531280,21,1222,0,811,594186,174967
263123,40071,56931,5848088,43,1179,0,1490,1848939,408944
428918,263123,25717,940481,21,558,0,293,276256,64143
40071,87148,67384,4221873,42,1250,0,878,560451,166996
290783,40079,22710,4503240,42,558,0,961,458664,171975
317580,73221,47430,3809511,19,1068,0,914,517808,178035
415044,415044,24,0,0,2,0,0,0,1
40086,428913,51913,5622047,24,1183,0,1565,1240331,369412
40086,87254,58770,4125067,20,1214,0,910,541483,175094
428917,428905,10285,735125,20,254,0,137,57923,21319
290786,290794,71,12405,6,16,0,6,40,11
358006,425394,39619,4486538,16,1094,0,676,1180886,284519
40071,40086,836,310884,39,89,0,78,1754,790
358006,303394,57850,5208899,16,1271,0,839,1769669,327415
358006,74673,49985,4067392,20,1087,0,914,1003312,236113
317528,87148,55699,4568823,18,1256,0,1219,1073707,327896
428917,40083,52111,5586070,28,1180,0,1400,1380189,402166
399936,375050,41271,2167892,19,887,0,542,960493,235355
40079,317528,10221,3316593,40,348,0,804,196808,75681
317528,358006,69276,6488074,16,1305,0,1589,1697365,425220
380608,290796,19406,3512465,26,465,0,763,673707,182025
317580,87254,60296,4666087,20,1230,0,1228,1178979,335300
303394,428917,50900,5099420,26,1156,0,1472,1351148,372426
87148,290677,57365,5613386,24,1263,0,1241,2136500,399799
243300,87254,60395,5123398,25,1232,0,1152,838902,204386
40086,263123,50455,5641734,24,1153,0,1632,1249714,372188
290786,263123,46312,4548539,21,1041,0,1299,1209474,347832
434393,134388,51443,2906925,17,1032,0,449,634607,154132
317528,87148,55667,4568823,18,1256,0,1219,1073707,327896
415044,303394,51504,5240628,23,1153,0,1347,1618311,387744
303394,290796,12721,3025828,21,359,0,673,397786,118561
434393,303394,54298,6576931,26,1254,0,1321,1462739,374098
290794,317580,7564,1270061,17,282,0,407,87231,31021
290786,40081,54627,4417650,42,1065,0,970,1172455,335718
40082,40086,870,337933,38,87,0,77,1543,790
317580,380608,8046,2293349,23,305,0,505,202863,77341
40090,40082,54,83067,7,21,0,7,122,57
40079,380608,2350,1144193,38,134,0,170,9232,5181
40090,380608,1189,921730,31,90,0,111,9316,5157
290783,40080,24146,4499837,42,558,0,961,456623,171393
290786,375066,3513,1062266,19,163,0,213,56170,23606
263123,290798,46558,4473171,28,1017,0,1432,1654817,354802
40084,87254,57630,4267580,39,1220,0,877,527779,173713
87148,40082,50041,4230201,41,1241,0,635,1905737,342964
87254,40085,60346,4248473,41,1213,0,624,1333973,342761
425394,303031,52109,5547318,20,1157,0,1441,1287975,397376
290784,40085,49079,4393598,37,1053,0,965,1176615,334736
399936,428917,40321,2135165,19,906,0,728,947503,231829
