weight,dijkstraTime,cchTime
556130,942312,63959
438407,368190,63808
510470,458524,72774
7370,157,221
747458,1327110,100128
735354,1252290,81360
1056529,1251974,99848
1059511,1235401,78356
8536,121,241
1322273,1043416,98909
0,1,15
823473,1287134,83384
971268,1134490,109283
2945,30,16
7307,41,222
1377132,1148648,89766
7711,87,63
310358,126447,47931
1006324,1320816,79753
744860,1260137,67604
718968,709929,86263
646031,1115948,80504
182732,37167,17245
620802,516717,86685
651184,599578,87127
6205,87,238
904262,1185753,97401
1130446,1260770,89881
833532,1395915,97319
894651,1225002,83981
634282,879891,99737
668582,641237,89908
636580,1256973,87884
806726,1192915,79801
866471,1244815,85772
1175338,599499,84447
926669,1340684,80415
552347,1008335,85003
549435,499946,70383
846307,1243542,88992
470531,833733,31693
1359679,1158544,95255
676377,1174230,77770
1045933,1369855,47340
1063840,1428832,99580
863724,1216938,77305
9544,61,27
838272,1115890,97521
1403396,1137886,136120
7573,87,782
244997,81900,17439
930977,1364246,72652
576751,845718,91324
5557,44,147
1007457,1237740,97040
831427,519177,98883
574999,1152100,88776
9959,94,167
835614,525620,97492
5782,48,130
632768,1245565,50600
837877,1115212,101082
1155938,570304,87168
779602,1291345,83400
1331522,1268286,104594
8083,316,29
774031,1205030,89533
1187661,1259214,79055
596664,429306,89813
1301812,1135832,101875
609948,492345,88686
585732,499593,98076
895380,620005,104050
833291,1204218,82077
5213,52,113
408290,453800,63964
680084,545845,85876
1845,51,19
8650,172,338
1081804,1323843,81195
681069,1127659,74731
857134,1139482,99033
757558,678253,102439
7407,82,105
8784,138,141
317526,315423,56029
644636,1270686,48815
297539,187289,45319
129761,15302,2674
1206022,1068044,93683
681045,248765,62208
7741,76,94
8424,126,323
547206,989765,77101
9312,130,186
362478,190866,61045
843193,1298780,76276
8586,105,410
743063,1167521,88499
968656,1289076,74267
690256,547704,85287
4940,90,54
716061,1208108,81769
1146085,1111375,97581
839104,1266130,89693
715157,746807,97554
337987,155032,77280
643215,211150,68355
554672,1018792,49404
1047901,1057834,104814
1191028,622134,201927
1042128,865611,94930
638179,638690,128945
278519,118085,20700
7958,125,202
610963,494583,86763
3894,20,6
631823,824440,90307
636886,1307021,84601
371821,533068,29702
1218280,741290,92086
617750,963716,83956
773851,875369,101796
8674,229,185
468578,752304,62654
588975,356976,82540
5426,57,56
950155,424600,86062
1210916,1072563,94773
901659,1343567,83053
786438,1299556,95118
1005045,1178747,74344
415192,307520,61538
1269225,1218137,76220
851270,685521,102357
844545,1242246,84796
596538,370963,82069
110323,5385,2292
515310,606705,93289
614737,529167,91624
1234426,1234376,134599
694944,490963,65090
1098381,1145685,85576
681350,547749,84990
2884,44,13
853990,738319,82896
1083095,1098016,106343
999637,1095889,80822
839148,1291298,77082
4014,53,55
1105448,1065339,83583
853857,1204960,77970
915635,367182,80594
1044989,1135761,136131
5577,83,261
823587,994969,98868
808350,1262288,97055
8646,110,466
933191,1274472,78735
610859,936438,92944
852777,1225253,78849
840720,1344620,81333
537751,589433,84296
130888,4960,3665
7686,72,471
678152,616891,78007
864875,1124001,89349
615581,728709,87900
738439,1256425,77538
927920,1298210,96967
8216,73,521
3307,33,37
619871,766689,74882
9784,69,55
420,18,551
619293,958965,96162
569139,881671,62974
455163,505014,95029
633523,1247214,57469
1631165,1219662,88919
504245,911578,82175
830063,1283478,79727
2003,19,31
739016,1114370,66440
268834,54714,11979
1990,20,43
792801,917340,93411
632550,994340,143952
619640,1226218,82068
605615,711089,86536
808611,1260987,77688
891032,1148111,90320
571297,531013,73670
1297723,1259296,94731
6854,69,149
675062,1118649,74974
4598,54,17
726164,1239538,128938
7456,133,306
857828,560726,103182
651972,662331,74582
593162,738154,99401
5210,60,301
533955,889356,43603
625706,775741,75919
4065,48,267
603637,627548,73130
555864,1049989,133013
6947,70,377
1150626,1181976,98685
799515,468142,169393
815527,1091137,97750
883364,1329298,76345
555904,675147,114275
711215,1319146,84969
4654,38,10
949591,1169376,82831
1447619,1287971,89380
702862,498813,87908
887188,1265093,90444
357228,299809,59661
929560,1299435,87440
1282588,1192587,153547
1044421,1141392,81004
1591,31,51
720709,632740,91969
8672,60,14
1154563,1124371,105878
6582,34,65
745624,745292,173598
809150,1275836,97659
787240,1236904,71098
515246,895558,51035
9448,192,293
8015,65,262
386645,242013,57659
970238,1186555,95114
559032,1055819,35224
807302,1262253,77804
1301279,1123020,92084
155832,9061,4844
1384675,1130333,99495
5428,61,73
543371,838943,59393
785615,923120,76494
559501,1067877,55711
9173,126,114
846413,1301942,101488
7552,55,360
566621,1070243,34317
7152,65,25
6175,105,219
4212,66,1396
4192,34,129
3439,32,85
256704,135078,34956
4862,29,21
1189873,1077852,102128
845733,1295960,74457
817370,893253,79855
3060,26,10
123264,13655,3003
726873,1324479,76964
776160,628425,67437
0,1,622
1084530,1205700,115655
822444,1202195,75418
343356,280132,55765
420407,146247,45566
1226653,1077883,92250
649985,1277475,80127
596571,1098532,77719
715222,1115240,89129
1016899,1345370,43975
9669,205,597
714808,516367,92842
6217,61,18
829389,1291302,80990
8137,164,745
798510,1229221,139972
739438,981368,65889
801326,1297287,78115
525344,933705,76460
377673,470413,56267
616115,1044617,47980
805901,1035182,82572
1023353,1118465,83059
674070,695530,74357
693992,948712,130830
842021,1121880,86723
7818,178,228
1128785,1144091,104432
795948,1246545,93780
643623,1216232,77952
645835,1219538,79242
922433,1286302,148195
881608,1166006,95025
4853,69,45
631740,553914,85719
471848,531289,110595
2521,26,28
786137,1231195,96153
1027220,1206392,89359
2131,34,9
3713,26,292
1096258,1225451,75193
1235677,1247181,91344
729561,552879,69489
623498,556596,98029
872571,772743,67703
630696,1021772,71610
808597,1164151,76224
6084,63,201
956466,1166436,92152
796701,1272761,73122
1413865,1179987,95198
863488,1286877,92984
7745,113,72
565031,962988,49256
9284,84,236
6813,46,54
572536,1049775,82273
5539,64,66
1061038,1195890,94168
3053,32,188
8015,69,77
1134513,1098405,91079
513032,94923,58846
1085202,1247050,84983
740126,1028533,73318
1299271,1185239,89744
584654,590569,74117
1281224,1114849,99619
1004865,1095448,82602
845047,1062110,94613
1267864,821173,99067
1144043,1264056,85852
542112,682897,70082
715747,1116076,94508
6928,70,1264
1191707,1079380,157689
706096,1128077,70586
776138,628388,68110
575112,332863,88981
649147,1219842,91690
896321,1179270,95665
1130589,1237855,82554
679029,905354,86158
7925,80,52
807097,1185399,87888
749636,998135,75699
1119357,1109133,90622
748712,1354000,86888
527951,940585,79243
620,22,9
7891,73,384
919650,1256804,86880
571026,702744,196962
9608,70,33
900601,1330881,86348
251366,62055,12212
438161,145638,29332
6464,80,86
1071922,641370,81916
450525,761417,31927
610287,934876,94660
1326021,1192477,103125
637509,1206390,75145
863622,1303109,82118
357681,184169,52338
6294,116,2188
7471,56,26
395782,415989,74564
6534,107,17
974993,1299607,83176
548203,997018,105007
1359433,1158471,92317
1501286,1146974,98733
469370,173032,33959
4162,41,122
747921,813475,91066
845788,1015203,95747
5015,49,332
785022,1200740,68029
811482,1189554,76119
7089,48,133
757496,531635,106495
1066664,503866,83288
415175,307494,63130
660215,529439,92144
490674,863636,82545
1220174,661062,82699
689030,858922,83502
788427,1282492,84921
958231,1039561,80036
2117,17,80
755394,1199151,78628
491420,864765,80162
1363882,1121862,96307
844401,539127,98249
9157,79,129
4353,52,327
789228,637204,148884
986328,1148101,121995
579180,148252,27608
994712,1146858,87185
1230289,1061263,96870
1587360,1165194,98441
9741,79,78
8234,100,84
944948,1295855,85738
5071,60,15
1397426,1153421,92850
547763,364829,118878
1117384,1374798,72777
953052,698443,98304
1114428,1224660,82714
1115367,511384,83680
521469,562409,87670
8266,67,21
418627,660478,63665
1265758,1247254,101663
974806,1224229,95544
514721,914372,82343
460173,605993,152436
1414882,989927,79612
855962,1207499,69390
1265091,1194590,90280
749031,666141,115722
835281,706221,75104
1296493,1132849,103265
200745,22819,4828
1027738,1100302,88340
5574,63,318
921724,953853,103337
891104,1220002,83733
1070205,1372036,47104
1320246,1130651,105283
1119343,1239349,90261
662358,843590,65918
597092,450714,82420
531384,738715,51090
172784,27563,6840
7496,68,30
732613,970320,81036
1092267,1109510,103974
123440,13683,3633
461317,608022,51626
551058,443909,91012
1091498,1108687,103016
732000,496233,95184
974468,1224083,94416
0,2,306
2515,36,54
823861,1203733,75297
658733,972524,97839
1214136,735421,103759
739957,1254837,74302
7846,143,292
1247331,1138195,86520
1018197,1091436,92194
8458,90,145
1529485,1290014,74316
696595,414327,81424
674490,867650,98296
447317,391990,70403
1684,20,57
1024312,1117760,81912
8500,84,45
359969,306606,48961
622348,880074,93689
333186,65626,49082
1296943,1083380,99214
935674,1303475,87589
701313,791533,81598
862723,1310348,92145
1422426,1182587,92932
985989,1082033,82178
585277,426214,80822
8997,99,66
268168,90792,39648
773098,1254449,137756
789672,1534181,185877
483228,717028,64193
9123,39,24
361553,190288,56326
714846,1080728,89080
541404,902673,47100
702619,686793,139313
613844,1009352,74363
1117865,1238986,93782
852769,736066,65419
762106,538969,90916
576862,488459,98872
1053494,480523,84312
570139,850915,75853
1243470,1090319,92083
6698,61,881
406261,567046,58695
1188858,1076983,97577
1243843,1192879,95856
1815,21,9
861535,1145035,97613
779985,549886,92591
517715,859382,45211
1182664,1071569,91612
478268,536221,67155
546522,691741,73444
899528,625105,100022
500650,588735,64702
830032,517031,98501
1664247,1180041,88342
7888,110,197
842525,671328,90378
998500,1172796,74824
1288764,1120464,97551
632211,1072911,45625
880249,1300733,83618
910776,1120506,91875
484337,553032,95138
9761,75,173
862945,1246396,85082
869081,1310341,96352
9518,138,81
879097,1101732,160437
1214765,1283906,187500
7810,133,19
706763,965421,84840
1345842,1068394,132841
304620,121898,45754
717638,1210200,78966
824553,1252916,87175
9915,168,120
905090,1327936,81572
7066,74,13
7290,71,133
1008787,327409,77159
6141,64,1346
844910,1236760,85904
9022,67,148
629022,1054173,125647
941054,1101546,126800
598489,767115,69060
565709,395939,80709
516051,641180,64157
6122,54,200
517533,98933,36673
2980,21,55
748569,1328168,113809
89017,2785,2694
1038581,1201122,80071
835380,523762,114169
5498,64,124
3832,54,188
199516,22252,8068
779923,1154897,78086
747441,681404,89444
1191579,1054310,99986
698964,1261429,107423
664935,1154021,69532
742325,896576,82554
953232,430195,86951
1205114,1067242,93429
2520,26,13
791193,758552,79125
1371768,1089469,106730
339287,156598,51959
747892,1229304,103067
704747,771329,71986
3474,50,45
5469,48,309
9027,129,1969
657948,836458,69288
828995,1210051,82184
1124895,615810,94816
829615,1326272,101126
1011227,1323042,76759
381558,480705,56343
823084,1278815,78197
1128202,1019801,93197
372350,339564,54432
432038,160985,49336
7675,46,45
1778,26,18
347584,458379,31926
621141,963805,94657
856086,1305246,84221
624745,1029238,100946
1177240,1133281,91155
1169679,1266813,77675
697397,1150721,74996
515106,96758,51754
807795,481400,95150
616609,532873,87238
1293801,1213857,239210
703747,1124914,78559
1149582,1112376,93087
712760,644549,77042
1068237,1240255,97732
2585,40,243
786417,1262390,70921
1307899,1125549,159020
999036,769667,92098
7686,59,164
1244863,780711,85624
722722,1182092,65283
916724,1392105,84507
4136,23,5
