from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
782680,782679,140,8192,3,13,0,6,141,45
236818,29,114753,4575566,23,1507,0,1585,5152526,1000939
1746351,1048595,153968,6536104,15,2100,0,1762,11250735,1700336
847029,1048601,175076,11728769,22,2167,0,3748,9425719,1877772
191416,1202416,470,7093,3,24,0,6,108,32
1167493,1048607,160254,13050600,23,2175,0,3792,9080437,1879007
37011,1048583,231738,9626237,35,2160,0,2948,10131024,1873626
357970,33,137592,8317216,17,1899,0,2524,10798202,1870131
60050,1048594,157969,9833391,14,2090,0,2925,10201843,1878301
37011,38,165353,9492192,21,2154,0,2859,10106911,1865282
433386,37,140337,4298423,22,1839,0,1194,4528618,877530
1338321,1048596,236159,12445313,24,2136,0,3658,9632853,1880501
950338,1811899,340,4695,5,15,0,5,59,14
1338321,1048610,157604,12429388,23,2130,0,3660,9630783,1879647
718731,1625882,565,8011,6,44,0,10,217,78
350534,1048602,204943,10070818,26,2035,0,3702,9353884,1868332
413171,30,170002,10687740,19,2099,0,3611,10419553,1878427
1628684,1048614,220952,9725833,19,2104,0,3044,9455401,1859968
413171,24,176108,10702613,17,2099,0,3585,10422012,1879187
1436966,14,152262,11292064,18,2151,0,3699,9992538,1877717
272955,1048591,121207,4303519,29,1704,0,1746,4069872,903988
37011,36934,53,6946,4,15,0,8,184,69
1777428,16,154439,9151531,18,2137,0,1546,11596267,1791835
99519,41,152697,9903603,16,2155,0,2870,10507684,1879644
1745633,44,154038,6670397,21,2119,0,1814,12840252,1713859
1167493,147115,52,8450,5,17,0,5,74,22
1162277,1048597,159042,14099490,24,2200,0,4227,9644954,1881481
430478,430482,137,8202,4,20,0,8,108,34
433386,418423,139,2127,3,17,0,3,60,15
751006,37,143864,9128894,18,1981,0,2497,9324351,1848966
202773,51,137247,5862952,15,1716,0,1614,8709485,1555408
122512,18,150536,7256497,20,2145,0,2336,10431146,1800485
1089366,1089367,62,9932,7,19,0,9,146,35
122512,122518,899,5291,6,20,0,7,101,21
1116335,1116350,162,8663,6,22,0,12,1790,99
704038,45,117011,7558844,20,1653,0,1976,9508344,1719585
1497541,15,160470,8361505,21,1950,0,2446,10143470,1822113
99519,1048620,154732,9884636,19,2161,0,2896,10505287,1878715
88755,39,158641,9254606,19,2140,0,2381,9922284,1872115
88755,1048597,154380,9317289,19,2142,0,2543,9934215,1875910
584089,1048587,157039,3483409,15,1945,0,1058,4259311,799883
461414,1048621,153198,3878099,19,1793,0,1110,3900471,838329
1625010,1048591,149640,9478052,21,2158,0,3033,10249602,1859342
1237749,1048583,126968,4570153,24,1513,0,1602,5050775,1000493
1847922,1048583,215586,8774821,31,2020,0,1592,14539447,1861550
1847922,41,210270,8665470,14,2004,0,1484,14529769,1858352
1222063,215695,361,8479,6,25,0,8,400,110
739844,16,121517,6545592,28,1736,0,2742,8075317,1490708
847029,1048608,167201,11752973,25,2170,0,3748,9429114,1879167
1792688,926439,55,614,1,6,0,1,22,2
61981,1048592,175605,9492196,39,2140,0,2739,10531767,1883964
477283,1048613,157555,10505985,22,2109,0,3463,9483304,1881017
810474,8,286216,10115115,24,2249,9,2793,10469227,1880013
952839,1048616,175633,9568011,24,2162,0,1761,12495994,1697181
326524,1048614,119198,4466386,14,1781,0,1223,5761975,1072032
1777428,47,160279,9029229,18,2135,0,1525,11553975,1777940
1608303,1610735,195,7924,4,18,0,10,204,79
326524,1048602,127752,4290843,14,1904,0,1299,5606181,1034691
1222063,215981,397,6147,7,28,0,9,294,75
461414,1419214,237,9947,5,24,0,9,320,131
957068,6,234576,9087560,28,2172,0,1614,9843330,1407157
1378915,1048597,172812,10972588,25,2110,0,3853,9375700,1882853
1361892,1048595,143143,7578331,18,2000,0,2127,10482859,1779135
494052,37,126261,3083313,17,1617,0,650,4103151,732342
680704,1048604,145520,3800529,21,1972,0,801,3646841,744238
950338,1811917,7158,9842,6,31,14,11,147,51
97707,1132167,1173,3886,2,6,1,2,39,4
1169990,1169990,7,0,0,2,0,0,0,1
1614175,35,118069,7394885,19,1640,0,1984,9679371,1711309
37011,1082468,2402,1803,4,15,2,5,86,21
1067462,43,178630,9189655,24,2063,0,2387,10631338,1866326
153758,39,27385,2149823,24,503,0,324,864862,211234
1137464,1048600,187557,7742518,22,2085,0,2131,12094752,1813888
1116335,14,153694,9411976,17,2138,0,2650,11700423,1871317
704038,33,118564,7499908,21,1656,0,1987,9469173,1711095
1608303,14,197172,8872747,18,2057,0,2741,10939121,1869333
769788,1048605,154683,9075413,28,2017,0,2616,9608296,1837595
1772876,1048588,158123,10562240,20,2148,0,3446,9955787,1876004
1239740,251578,368,9173,10,47,0,12,343,129
236818,1048581,107853,4390554,15,1503,0,1534,5067004,979073
1847922,16,173582,8767929,17,2009,0,1533,14538288,1861351
402518,14,143410,8596467,19,1957,0,2343,10120950,1815491
1680340,786563,145,4583,4,9,0,4,80,15
477283,13,159650,10450834,27,2112,0,3607,9476701,1878305
326524,326520,261,8525,2,11,0,3,180,35
1628684,44,154607,9779302,19,2105,0,3055,9468868,1864112
1847988,1048589,148733,7733751,22,2014,0,1420,14747625,1828549
782680,782683,99,7832,4,12,0,6,130,40
1314331,1048587,149035,4272226,15,1898,0,1298,5724903,1033937
950338,41,165992,9360673,24,2168,0,1727,12932126,1520804
990542,1048622,155993,9399901,17,2120,0,1775,10767860,1855547
1529280,1529285,34,5128,5,16,0,5,107,20
782680,782969,102,7865,5,12,0,5,132,41
1310978,27,183589,4572486,23,1877,0,1252,5819171,1039110
1162277,31,161700,14022683,19,2193,0,4067,9635640,1877911
1608303,696838,251,5641,4,22,0,4,119,39
1429120,470647,21,6721,4,12,0,6,53,16
430478,424592,72,9134,4,18,0,8,137,46
357970,14,136541,8304238,17,1900,0,2684,10793937,1868807
1067462,1067465,22,555,2,9,0,2,29,5
621728,1048583,142633,3667060,29,1767,0,941,5310008,906333
1314331,1048595,125368,4411064,14,1823,0,1174,5834851,1061185
326524,19,130764,4393106,15,1905,0,1304,5696151,1056615
494052,11,133981,3312875,24,1625,0,668,4171348,751369
769788,1666880,28,7686,3,12,0,3,36,5
1019281,17,152233,9356190,16,2135,0,1531,10355525,1792577
430478,30,158538,4281976,27,1917,0,1152,4408731,867027
1137464,131446,42,3840,5,16,0,5,235,24
1788164,920984,496,9620,6,34,0,14,274,105
1310978,1048612,134466,4660589,16,1870,0,1281,5891309,1055053
326524,338089,380,7634,4,22,0,7,136,24
1019281,1048620,152957,9233608,16,2133,0,1548,10314179,1779173
1237749,1048608,169069,4337437,18,1509,0,1585,4943276,971647
1063066,18047,59,3461,1,9,0,2,77,13
1845368,10,164483,9517620,30,2105,0,1835,10688578,1863679
1625010,8,237528,9479305,22,2165,0,2871,10249914,1859441
1200653,39,139209,5516119,18,1918,0,1538,8225909,1517171
952839,1048622,161921,8955144,18,2152,0,1617,9629532,1399065
122512,23,149033,7232877,17,2136,0,2156,10421758,1798041
718731,718677,520,9894,6,33,0,11,270,103
326524,1048621,129321,4370807,16,1911,0,1326,5670579,1050714
1181351,52,147697,6063060,21,2012,0,897,12749811,1603924
950338,1048581,164415,9351376,26,2180,0,1742,12767660,1513693
1067462,10,163748,9320871,40,2072,0,2496,10660317,1875536
1777428,6,156075,9048338,19,2149,0,1512,11561175,1780294
1222063,1221794,1107,9188,7,25,2,13,481,134
1497541,20,179519,8445522,20,1948,0,2450,10173633,1829508
1614175,1048604,117524,7401061,19,1639,0,1985,9683601,1712250
1777428,1048622,159548,9025671,17,2135,0,1521,11552306,1777386
621728,8,128004,3561587,15,1761,0,850,5201736,882220
461414,1048590,127427,3987127,18,1793,0,1094,3946937,850559
1746351,1746412,170,7526,3,14,0,9,180,56
122512,3,150902,7147016,21,2151,0,2229,10373136,1786087
718731,1625973,552,9873,7,33,0,11,264,100
1089366,47,161684,11134300,22,2129,0,3578,10227348,1878669
357970,1048585,138144,8312656,20,1900,0,2686,10796706,1869671
952839,45,214123,9011987,17,2151,0,1597,10083825,1448932
365792,25,150054,11696366,17,2155,0,3557,9630699,1879741
1847988,1048602,155932,7743613,22,2015,0,1431,14748608,1828927
1792688,926476,170,5058,3,14,0,3,77,20
782680,1679473,30,2126,2,7,0,3,43,7
1717090,832352,261,7348,4,18,0,7,117,35
781315,1676125,9,4681,3,8,0,3,27,5
1378915,1048599,168080,11215330,32,2126,0,3803,9389457,1888884
782680,25,219143,12282209,18,2173,0,3889,9702643,1879767
1017424,1048619,153002,9827209,14,2105,0,1726,9851652,1824277
1587223,678711,181,9335,3,9,0,15,134,36
1169249,7,23016,2693657,24,475,3,532,1087137,269400
1100952,31,159833,9257524,22,1984,0,2806,10571715,1877838
122512,122506,12834,7657,8,31,25,12,229,56
1788164,23,46865,3194750,12,673,0,698,625561,180338
1314331,1312294,292,8934,5,26,0,12,288,112
1777428,31,153442,9017460,15,2134,0,1516,11548102,1776122
1640668,1640614,273,6025,3,24,0,5,173,60
1788164,1788152,406,6454,4,30,0,9,144,48
1314331,1048590,146149,4436264,17,1904,0,1307,5863390,1067816
1222063,1048610,151656,6808134,15,2025,0,1920,10446045,1728276
1680340,2,213762,12431647,20,2138,0,4040,9275452,1878711
1529280,30,128281,3927495,18,1573,0,1212,4576482,895391
908962,27,234926,8828811,25,2030,0,1543,11064474,1803215
1137464,1137376,19,2767,4,11,0,5,220,20
350534,24,150992,10140342,24,2033,0,3527,9372595,1874274
1529280,20,119745,3752925,16,1571,0,1172,4260703,838574
1037595,1048602,165721,7379392,21,2198,0,1385,1881980,440536
1239740,237829,181,2207,4,19,0,5,71,16
1169990,1048614,14139,2117441,13,409,0,380,532592,151126
1017424,41,152291,9849381,12,2103,0,1702,9871969,1829905
1436966,1048621,177502,11332235,20,2160,0,3723,9998294,1880046
1497541,1048605,143640,8391132,21,1946,0,2303,10157011,1825339
1772876,1,273160,10538150,20,2149,282,3346,9951389,1874364
1070778,1048586,160124,9734721,24,2169,0,2896,10788694,1869281
847029,1728923,14,658,1,4,0,1,22,2
430478,7,150728,4713864,33,1925,0,1226,4937309,964544
718731,1625858,182,4457,3,25,0,3,120,36
1222063,1048618,147014,6783237,15,2023,0,1942,10433425,1725299
99519,20,153703,9941302,20,2163,0,3048,10511777,1881236
1019281,10,165915,9353002,29,2142,0,1629,10354634,1792272
1788164,916624,727,6221,3,20,0,8,139,46
